CookerStat, GenerateAssetRegistry=0.027061, Initialize=0.140894, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_11, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.566878, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.149291, BlockTillAllRequestsFinished=0.006996, ResetLoadersForSaveUnMarkAllObjects=0.203874, TagPackageExports=83.453659, BeginCacheForCookedPlatformData=0.006530, SerializeImports=83.294106, GatherLocalizableTextData=31.561804, MarkNames=0.297647, SerializeSummary=0.022393, SerializeNames=0.685800, SerializeGatherableTextData=0.237934, BuildExportMap=0.613954, SortExportsNonSeekfree=7.992156, SortExportsSeekfreeConstructor=0.089575, SortExportsSeekfreeInner=99.443100, SortExportsSeekfree=0.008862, BuildDependencyMap=0.335436, SerializeImportMap=0.042919, SerializeExportMap=0.202008, SerializeDependencyMap=0.036858, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.735626, SerializeExports=118.775238, SerializeBulkData=0.013065, MoveFile=6.256193, UnaccountedTime=3.148623, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_12, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=15.484188, FlushAsyncLoading=0.019129, FlushStreamingFunc=0.078842, BlockTillAllRequestsFinished=0.008401, ResetLoadersForSaveUnMarkAllObjects=0.302777, TagPackageExports=155.989075, BeginCacheForCookedPlatformData=0.006530, SerializeImports=165.173218, GatherLocalizableTextData=41.769516, MarkNames=1.439720, SerializeSummary=0.049919, SerializeNames=1.182191, SerializeGatherableTextData=0.495456, BuildExportMap=0.879876, SortExportsNonSeekfree=12.319706, SortExportsSeekfreeConstructor=0.089105, SortExportsSeekfreeInner=170.567261, SortExportsSeekfree=0.010263, BuildDependencyMap=0.412878, SerializeImportMap=0.041522, SerializeExportMap=0.256125, SerializeDependencyMap=0.050854, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.094412, SerializeExports=173.545593, SerializeBulkData=0.012595, MoveFile=6.013129, UnaccountedTime=2.600446, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_13, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto1.umap, AutoPackageBackupDelegate=47.369297, FlushAsyncLoading=0.014462, FlushStreamingFunc=0.087708, BlockTillAllRequestsFinished=0.007931, ResetLoadersForSaveUnMarkAllObjects=97.213547, TagPackageExports=2.716612, BeginCacheForCookedPlatformData=0.005599, SerializeImports=3.554974, GatherLocalizableTextData=16.857187, MarkNames=0.119898, SerializeSummary=0.021927, SerializeNames=0.701666, SerializeGatherableTextData=0.040587, BuildExportMap=0.418480, SortExportsNonSeekfree=0.904605, SortExportsSeekfreeConstructor=0.079308, SortExportsSeekfreeInner=25.016832, SortExportsSeekfree=0.007462, BuildDependencyMap=0.177749, SerializeImportMap=0.050854, SerializeExportMap=0.060182, SerializeDependencyMap=0.011664, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.796614, SerializeExports=8.350920, SerializeBulkData=4470.449219, MoveFile=125.082748, UnaccountedTime=3.849354, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_14, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Saved/Autosaves/Game/FirstPersonBP/Blueprints/FirstPersonCharacter_Auto1.uasset, AutoPackageBackupDelegate=11.918951, FlushAsyncLoading=0.020996, FlushStreamingFunc=0.087708, BlockTillAllRequestsFinished=0.008862, ResetLoadersForSaveUnMarkAllObjects=0.216004, TagPackageExports=159.554306, BeginCacheForCookedPlatformData=0.007465, SerializeImports=159.725067, GatherLocalizableTextData=53.275589, MarkNames=1.256838, SerializeSummary=0.055049, SerializeNames=0.847224, SerializeGatherableTextData=0.398416, BuildExportMap=0.752982, SortExportsNonSeekfree=11.442159, SortExportsSeekfreeConstructor=0.020526, SortExportsSeekfreeInner=172.948898, SortExportsSeekfree=0.007931, BuildDependencyMap=0.453472, SerializeImportMap=0.040587, SerializeExportMap=0.258926, SerializeDependencyMap=0.050385, SerializeStringAssetReferenceMap=0.003263, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.298752, SerializeExports=174.881287, SerializeBulkData=0.011198, MoveFile=82.421227, UnaccountedTime=1.123410, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_15, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.519291, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.146955, BlockTillAllRequestsFinished=0.006534, ResetLoadersForSaveUnMarkAllObjects=0.199210, TagPackageExports=160.566681, BeginCacheForCookedPlatformData=0.007000, SerializeImports=159.295853, GatherLocalizableTextData=52.703621, MarkNames=2.102658, SerializeSummary=0.043388, SerializeNames=0.738520, SerializeGatherableTextData=0.434805, BuildExportMap=0.766046, SortExportsNonSeekfree=12.820292, SortExportsSeekfreeConstructor=0.092838, SortExportsSeekfreeInner=173.667358, SortExportsSeekfree=0.007931, BuildDependencyMap=0.468399, SerializeImportMap=0.042453, SerializeExportMap=0.277586, SerializeDependencyMap=0.116166, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.737289, SerializeExports=174.690933, SerializeBulkData=0.010733, MoveFile=5.785458, UnaccountedTime=5.198099, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_16, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.607934, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.153024, BlockTillAllRequestsFinished=0.007931, ResetLoadersForSaveUnMarkAllObjects=0.208072, TagPackageExports=160.406204, BeginCacheForCookedPlatformData=0.006996, SerializeImports=162.698746, GatherLocalizableTextData=54.788082, MarkNames=1.167729, SerializeSummary=0.048053, SerializeNames=0.774443, SerializeGatherableTextData=0.416614, BuildExportMap=0.765577, SortExportsNonSeekfree=12.637410, SortExportsSeekfreeConstructor=0.092376, SortExportsSeekfreeInner=176.596252, SortExportsSeekfree=0.008401, BuildDependencyMap=0.460934, SerializeImportMap=0.041053, SerializeExportMap=0.273388, SerializeDependencyMap=0.117566, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.979889, SerializeExports=177.825089, SerializeBulkData=0.012599, MoveFile=6.978847, UnaccountedTime=3.117833, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_17, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.628705, FlushAsyncLoading=0.007465, FlushStreamingFunc=0.087708, BlockTillAllRequestsFinished=0.008397, ResetLoadersForSaveUnMarkAllObjects=0.216469, TagPackageExports=185.842438, BeginCacheForCookedPlatformData=0.009332, SerializeImports=174.719391, GatherLocalizableTextData=54.212849, MarkNames=1.021706, SerializeSummary=0.037789, SerializeNames=0.733387, SerializeGatherableTextData=0.469331, BuildExportMap=0.777241, SortExportsNonSeekfree=12.764774, SortExportsSeekfreeConstructor=0.090040, SortExportsSeekfreeInner=173.929092, SortExportsSeekfree=0.008397, BuildDependencyMap=0.449270, SerializeImportMap=0.040587, SerializeExportMap=0.274789, SerializeDependencyMap=0.103571, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.213842, SerializeExports=176.481491, SerializeBulkData=0.012130, MoveFile=5.281136, UnaccountedTime=2.858907, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_18, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.683509, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.157222, BlockTillAllRequestsFinished=0.007931, ResetLoadersForSaveUnMarkAllObjects=0.210874, TagPackageExports=162.927338, BeginCacheForCookedPlatformData=0.007000, SerializeImports=185.744461, GatherLocalizableTextData=61.208492, MarkNames=1.054361, SerializeSummary=0.056453, SerializeNames=1.029167, SerializeGatherableTextData=0.474464, BuildExportMap=0.773508, SortExportsNonSeekfree=13.653986, SortExportsSeekfreeConstructor=0.093773, SortExportsSeekfreeInner=179.244751, SortExportsSeekfree=0.007931, BuildDependencyMap=0.470262, SerializeImportMap=0.040121, SerializeExportMap=0.284586, SerializeDependencyMap=0.164218, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.551144, SerializeExports=181.231705, SerializeBulkData=0.012130, MoveFile=6.526310, UnaccountedTime=2.176836, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_19, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.585542, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.146959, BlockTillAllRequestsFinished=0.006065, ResetLoadersForSaveUnMarkAllObjects=0.198744, TagPackageExports=163.695251, BeginCacheForCookedPlatformData=0.007000, SerializeImports=167.136383, GatherLocalizableTextData=54.204453, MarkNames=1.000244, SerializeSummary=0.031259, SerializeNames=0.750650, SerializeGatherableTextData=0.467930, BuildExportMap=0.771642, SortExportsNonSeekfree=12.767110, SortExportsSeekfreeConstructor=0.021458, SortExportsSeekfreeInner=177.332901, SortExportsSeekfree=0.008397, BuildDependencyMap=0.464667, SerializeImportMap=0.040121, SerializeExportMap=0.279453, SerializeDependencyMap=0.140890, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.082279, SerializeExports=180.038788, SerializeBulkData=0.010263, MoveFile=5.567122, UnaccountedTime=2.672296, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_20, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.396839, FlushAsyncLoading=0.006065, FlushStreamingFunc=0.066247, BlockTillAllRequestsFinished=0.007465, ResetLoadersForSaveUnMarkAllObjects=0.211805, TagPackageExports=152.611862, BeginCacheForCookedPlatformData=0.007465, SerializeImports=160.166870, GatherLocalizableTextData=55.297539, MarkNames=1.091685, SerializeSummary=0.062514, SerializeNames=0.749715, SerializeGatherableTextData=0.422679, BuildExportMap=0.681136, SortExportsNonSeekfree=13.855059, SortExportsSeekfreeConstructor=0.094239, SortExportsSeekfreeInner=166.099289, SortExportsSeekfree=0.009798, BuildDependencyMap=0.417545, SerializeImportMap=0.042453, SerializeExportMap=0.255194, SerializeDependencyMap=0.054117, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=55.407639, SerializeExports=188.681290, SerializeBulkData=0.011664, MoveFile=5.499475, UnaccountedTime=3.051586, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
