CookerStat, GenerateAssetRegistry=0.044320, Initialize=0.271052, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_11, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.290208, FlushAsyncLoading=0.004664, FlushStreamingFunc=0.182882, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.183813, TagPackageExports=42.989983, BeginCacheForCookedPlatformData=0.014465, SerializeImports=45.479397, GatherLocalizableTextData=21.077911, MarkNames=0.146955, SerializeSummary=0.015862, SerializeNames=0.537913, SerializeGatherableTextData=0.148356, BuildExportMap=0.442274, SortExportsNonSeekfree=5.207896, SortExportsSeekfreeConstructor=0.208072, SortExportsSeekfreeInner=55.254177, SortExportsSeekfree=0.006996, BuildDependencyMap=1.094952, SerializeImportMap=0.029393, SerializeExportMap=0.109635, SerializeDependencyMap=0.043388, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.947882, SerializeExports=54.593567, SerializeBulkData=0.009798, MoveFile=5.924020, UnaccountedTime=4.744630, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_12, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.044812, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.189412, BlockTillAllRequestsFinished=0.009332, ResetLoadersForSaveUnMarkAllObjects=0.182413, TagPackageExports=65.449768, BeginCacheForCookedPlatformData=0.007931, SerializeImports=74.768738, GatherLocalizableTextData=35.024418, MarkNames=0.194076, SerializeSummary=0.021461, SerializeNames=0.637282, SerializeGatherableTextData=0.228137, BuildExportMap=0.576165, SortExportsNonSeekfree=6.042056, SortExportsSeekfreeConstructor=0.097040, SortExportsSeekfreeInner=75.063583, SortExportsSeekfree=0.012130, BuildDependencyMap=0.369493, SerializeImportMap=0.107303, SerializeExportMap=0.212736, SerializeDependencyMap=0.067182, SerializeStringAssetReferenceMap=0.006065, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.520561, SerializeExports=67.115288, SerializeBulkData=1.067892, MoveFile=9.179950, UnaccountedTime=2.395641, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_13, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=822.786438, FlushAsyncLoading=0.030328, FlushStreamingFunc=0.177279, BlockTillAllRequestsFinished=0.022396, ResetLoadersForSaveUnMarkAllObjects=1073.503052, TagPackageExports=3.635216, BeginCacheForCookedPlatformData=0.006065, SerializeImports=3.350630, GatherLocalizableTextData=16.731236, MarkNames=0.126429, SerializeSummary=0.020530, SerializeNames=0.732921, SerializeGatherableTextData=0.041053, BuildExportMap=0.420813, SortExportsNonSeekfree=1.150936, SortExportsSeekfreeConstructor=0.083510, SortExportsSeekfreeInner=25.390066, SortExportsSeekfree=0.019129, BuildDependencyMap=0.188943, SerializeImportMap=0.049453, SerializeExportMap=0.056449, SerializeDependencyMap=0.018660, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.766291, SerializeExports=9.047918, SerializeBulkData=4658.715332, MoveFile=70.924515, UnaccountedTime=13.221979, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_14, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=7.250842, FlushAsyncLoading=0.017729, FlushStreamingFunc=0.071846, BlockTillAllRequestsFinished=0.006996, ResetLoadersForSaveUnMarkAllObjects=0.188947, TagPackageExports=48.464737, BeginCacheForCookedPlatformData=0.005133, SerializeImports=49.851734, GatherLocalizableTextData=22.315620, MarkNames=0.828560, SerializeSummary=0.024259, SerializeNames=0.787508, SerializeGatherableTextData=0.214603, BuildExportMap=0.532314, SortExportsNonSeekfree=4.418526, SortExportsSeekfreeConstructor=0.011660, SortExportsSeekfreeInner=58.668259, SortExportsSeekfree=0.006530, BuildDependencyMap=0.194076, SerializeImportMap=0.064850, SerializeExportMap=0.221603, SerializeDependencyMap=0.023328, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.106947, SerializeExports=70.981438, SerializeBulkData=0.028923, MoveFile=6.020125, UnaccountedTime=2.223957, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_15, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/Bullet.uasset, AutoPackageBackupDelegate=0.129696, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.062048, BlockTillAllRequestsFinished=0.006065, ResetLoadersForSaveUnMarkAllObjects=0.195943, TagPackageExports=1.056228, BeginCacheForCookedPlatformData=0.002798, SerializeImports=1.790084, GatherLocalizableTextData=1.343146, MarkNames=0.019595, SerializeSummary=0.013527, SerializeNames=0.098906, SerializeGatherableTextData=0.005599, BuildExportMap=0.063449, SortExportsNonSeekfree=0.070445, SortExportsSeekfreeConstructor=0.007931, SortExportsSeekfreeInner=3.985114, SortExportsSeekfree=0.007000, BuildDependencyMap=0.019126, SerializeImportMap=0.009332, SerializeExportMap=0.021927, SerializeDependencyMap=0.006065, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.436274, SerializeExports=1.595073, SerializeBulkData=0.006065, MoveFile=4.742764, UnaccountedTime=1.909982, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_16, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/Bullet.uasset, AutoPackageBackupDelegate=7.647391, FlushAsyncLoading=0.014927, FlushStreamingFunc=0.072315, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.305112, TagPackageExports=1.375802, BeginCacheForCookedPlatformData=0.005599, SerializeImports=2.919559, GatherLocalizableTextData=1.709372, MarkNames=0.031259, SerializeSummary=0.014927, SerializeNames=0.118032, SerializeGatherableTextData=0.008397, BuildExportMap=0.105903, SortExportsNonSeekfree=0.074182, SortExportsSeekfreeConstructor=0.091907, SortExportsSeekfreeInner=4.475441, SortExportsSeekfree=0.004664, BuildDependencyMap=0.024725, SerializeImportMap=0.009798, SerializeExportMap=0.011664, SerializeDependencyMap=0.004198, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.631285, SerializeExports=1.748096, SerializeBulkData=0.006530, MoveFile=6.276719, UnaccountedTime=2.457690, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_17, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/Bullet.uasset, AutoPackageBackupDelegate=3.302578, FlushAsyncLoading=0.007931, FlushStreamingFunc=0.061583, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.179145, TagPackageExports=1.334749, BeginCacheForCookedPlatformData=0.004198, SerializeImports=2.125986, GatherLocalizableTextData=1.522295, MarkNames=0.027057, SerializeSummary=0.012599, SerializeNames=0.106368, SerializeGatherableTextData=0.006530, BuildExportMap=0.083510, SortExportsNonSeekfree=0.121765, SortExportsSeekfreeConstructor=0.097040, SortExportsSeekfreeInner=7.893719, SortExportsSeekfree=0.007465, BuildDependencyMap=0.038721, SerializeImportMap=0.012599, SerializeExportMap=0.014462, SerializeDependencyMap=0.005133, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.928245, SerializeExports=1.996756, SerializeBulkData=0.008397, MoveFile=5.539134, UnaccountedTime=2.272941, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_18, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.775397, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.189878, BlockTillAllRequestsFinished=0.010263, ResetLoadersForSaveUnMarkAllObjects=0.198741, TagPackageExports=46.987698, BeginCacheForCookedPlatformData=0.005599, SerializeImports=49.117413, GatherLocalizableTextData=19.838806, MarkNames=0.146024, SerializeSummary=0.016328, SerializeNames=0.543509, SerializeGatherableTextData=0.154890, BuildExportMap=0.406817, SortExportsNonSeekfree=4.455380, SortExportsSeekfreeConstructor=0.084441, SortExportsSeekfreeInner=63.330776, SortExportsSeekfree=0.010729, BuildDependencyMap=1.080487, SerializeImportMap=0.031725, SerializeExportMap=0.127364, SerializeDependencyMap=0.040121, SerializeStringAssetReferenceMap=0.004198, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.437254, SerializeExports=68.224693, SerializeBulkData=0.011664, MoveFile=5.214892, UnaccountedTime=3.410347, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_19, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.207629, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.188012, BlockTillAllRequestsFinished=0.007931, ResetLoadersForSaveUnMarkAllObjects=0.205740, TagPackageExports=58.634201, BeginCacheForCookedPlatformData=0.008397, SerializeImports=57.715134, GatherLocalizableTextData=25.394264, MarkNames=1.084685, SerializeSummary=0.036858, SerializeNames=0.788439, SerializeGatherableTextData=0.178214, BuildExportMap=0.525314, SortExportsNonSeekfree=4.686780, SortExportsSeekfreeConstructor=0.074178, SortExportsSeekfreeInner=71.270683, SortExportsSeekfree=0.010729, BuildDependencyMap=0.386756, SerializeImportMap=0.034057, SerializeExportMap=0.128295, SerializeDependencyMap=0.116169, SerializeStringAssetReferenceMap=0.012595, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.419300, SerializeExports=64.811081, SerializeBulkData=0.011198, MoveFile=5.613312, UnaccountedTime=2.955482, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_20, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/Bullet.uasset, AutoPackageBackupDelegate=2.372317, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.058785, BlockTillAllRequestsFinished=0.005130, ResetLoadersForSaveUnMarkAllObjects=0.186615, TagPackageExports=1.400996, BeginCacheForCookedPlatformData=0.005133, SerializeImports=3.366958, GatherLocalizableTextData=3.089376, MarkNames=0.059716, SerializeSummary=0.089575, SerializeNames=0.191744, SerializeGatherableTextData=0.018660, BuildExportMap=0.133429, SortExportsNonSeekfree=0.158153, SortExportsSeekfreeConstructor=0.221137, SortExportsSeekfreeInner=5.190167, SortExportsSeekfree=0.006065, BuildDependencyMap=0.027992, SerializeImportMap=0.011198, SerializeExportMap=0.013530, SerializeDependencyMap=0.002332, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.165488, SerializeExports=2.265010, SerializeBulkData=0.008397, MoveFile=5.792927, UnaccountedTime=2.362050, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
